Asset,frequency,start,end,Record_exist,Record_missing
AU200AUD,Daily,29/04/2015 00:00,06/08/2019 00:00,1090,256
AU200AUD,Hourly,05/03/2019 00:00,06/08/2019 23:00,2074,569
AU200AUD,Hours_4,28/08/2018 16:00,06/08/2019 20:00,1420,45
AU200AUD,Minutely,09/05/2019 06:31,06/08/2019 23:58,6244,15168
AU200AUD,Minutes_15,23/04/2019 08:45,06/08/2019 23:45,2117,1632
AU200AUD,Minutes_30,04/04/2019 10:30,06/08/2019 23:30,1958,1569
AU200AUD,Minutes_5,30/04/2019 12:45,06/08/2019 23:55,4099,3907
AU200AUD,Weekly,21/03/2004 00:00,04/08/2019 00:00,801,2
AUDCAD,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
AUDCAD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDCAD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDCAD,Minutely,05/08/2019 15:57,07/08/2019 02:45,2080,9
AUDCAD,Minutes_15,24/07/2019 00:00,07/08/2019 02:45,972,0
AUDCAD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDCAD,Minutes_5,29/07/2019 02:40,07/08/2019 02:45,2018,0
AUDCAD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDCHF,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
AUDCHF,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDCHF,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDCHF,Minutely,05/08/2019 14:55,07/08/2019 02:43,2071,78
AUDCHF,Minutes_15,24/07/2019 00:00,07/08/2019 02:30,971,0
AUDCHF,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDCHF,Minutes_5,29/07/2019 02:00,07/08/2019 02:40,2015,10
AUDCHF,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDHKD,Daily,20/08/2015 00:00,07/08/2019 00:00,1027,239
AUDHKD,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDHKD,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDHKD,Minutely,05/08/2019 14:41,07/08/2019 02:44,2076,88
AUDHKD,Minutes_15,24/07/2019 00:00,07/08/2019 02:30,971,0
AUDHKD,Minutes_30,09/07/2019 08:00,07/08/2019 02:30,998,1
AUDHKD,Minutes_5,29/07/2019 02:35,07/08/2019 02:40,2016,2
AUDHKD,Weekly,06/06/2004 00:00,04/08/2019 00:00,792,0
AUDJPY,Daily,28/05/2015 00:00,07/08/2019 00:00,1087,239
AUDJPY,Hourly,05/06/2019 08:00,07/08/2019 02:00,1075,2
AUDJPY,Hours_4,05/12/2018 08:00,07/08/2019 00:00,1037,5
AUDJPY,Minutely,05/08/2019 16:03,07/08/2019 02:45,2079,4
